site,latitude,longitude,variety,Date,Tmax,Tmin,RHmax,RHmin,Rad,Prec,ET0,VPD,Wind,LW,ChillState,AntiChillState,ForcingState,DormancyCompletion,CycleCompletion,BBCHCode,BBCHPhase,BBCHRef,TempF,HeatF,ColdF,LightF,AridityF,VPDefF,WindF,DiseaseF,TempFsum,HeatFsum,ColdFsum,LightFsum,AridityFsum,VPDefFsum,WindFsum,DiseaseFsum
ColliOrientali,45.64986,12.44986,Carmenere,01/20/2005,9.16,-1.8199999,75,27,7.02,0,1.8161232,0.37583593,3.8541667,0,-69.81561,0,0,23.91988,0,0,0,,0,1,0.5044368,0.3356573,0.8816613,1,1,0,0.002813587,19.041668,8.385464,5.393157,1.6168159,19.041668,17.798914,0
ColliOrientali,45.64986,12.44986,Carmenere,01/21/2005,9.94,-2.0299997,75,50,6.793,0,1.3794807,0.3006555,3.75,0,-74.48792,0,0,25.520685,0,0,0,,3.7146496E-05,1,0.5209562,0.3344798,0.8758911,1,1,0,0.0028151348,20.041666,8.890589,5.7287655,2.498237,20.041666,18.798916,0
ColliOrientali,45.64986,12.44986,Carmenere,01/22/2005,11.07,-1.1099997,72,11,8.543,0,2.4937334,0.4894632,4.872685,0,-80.44186,0,0,27.560593,0,0,0,,0.00088815106,1,0.5790993,0.34711587,0.86860925,1,0.58118564,0,0.0028877398,21.041666,9.413967,6.0637712,3.3738246,21.041666,19.781464,0
ColliOrientali,45.64986,12.44986,Carmenere,01/23/2005,6.24,-2.26,76,20,4.149,0,1.5203967,0.3527845,4.3171296,0,-82.7323,0,0,28.345331,0,0,0,,0,1,0.36101037,0.29814315,0.8597572,1,1,0,0.0037388843,22.041668,9.98398,6.408847,4.242065,22.041668,20.3801,0
ColliOrientali,45.64986,12.44986,Carmenere,01/24/2005,5.87,-2.3599997,57,16,4.605,0,2.0180054,0.4338369,3.7152777,0,-84.82567,0,0,29.062551,0,0,0,,0,1,0.33480388,0.30819553,0.84961855,1,1,0,0.0037388843,23.041666,10.343899,6.7074094,5.1014,23.041666,21.380102,0
ColliOrientali,45.64986,12.44986,Carmenere,01/25/2005,6.04,-0.9899998,18,10,5.212,0,3.3101485,0.63616526,3.2291667,0,-87.42038,0,0,29.95154,0,0,0,,0,1,0.38901573,0.31905562,0.83636564,1,1,0,0.0037388843,24.041666,10.680961,7.0160575,5.950466,24.041666,22.3801,0
ColliOrientali,45.64986,12.44986,Carmenere,01/26/2005,5.23,-1.6300001,35,10,1.878,0,2.2382557,0.53870684,3.3564816,0,-89.41403,0,0,30.634594,0,0,0,,0,1,0.30930153,0.20906001,0.8236629,1,1,0,0.0037388843,25.041666,11.066656,7.3305297,6.7863026,25.041666,23.3801,0
ColliOrientali,45.64986,12.44986,Carmenere,01/27/2005,5.77,-1.21,54,10,8.049,0,2.7720418,0.48223385,2.511574,0,-91.79891,0,0,31.45169,0,0,0,,0,1,0.36257935,0.3475617,0.81330526,1,1,0,0.0037388843,26.041668,11.378178,7.5453606,7.609534,26.041668,24.3801,0
ColliOrientali,45.64986,12.44986,Carmenere,01/28/2005,2.1,-4.05,45,19,5.117,0,2.3215096,0.38521785,5.671296,0,-92.15745,0,0,31.57453,0,0,0,,0,1,0.057932295,0.3193689,0.8045353,1,0.2615065,0,0.0037388843,27.041666,11.728063,7.891748,8.422474,27.041666,25.34933,0
ColliOrientali,45.64986,12.44986,Carmenere,01/29/2005,2.98,-4.24,40,15,5.99,0,2.6926734,0.42262152,5.6828704,0,-92.77243,0,0,31.785233,0,0,0,,0,1,0.09848825,0.33166143,0.79801077,1,0.25849718,0,0.0037388843,28.041666,11.787684,8.211629,9.226736,28.041666,25.610712,0
ColliOrientali,45.64986,12.44986,Carmenere,01/30/2005,5.1899996,-4.8699994,32,10,9.265,0,3.6060107,0.4937729,6.3194447,0,-94.111206,0,0,32.243916,0,0,0,,0,1,0.24131873,0.3553459,0.78959805,1,0.13677135,0,0.0037388843,29.041668,11.892123,8.544277,10.024397,29.041668,25.864136,0
ColliOrientali,45.64986,12.44986,Carmenere,01/31/2005,6.36,-5.61,47,10,8.322,0,3.0484498,0.4494801,3.488889,0,-95.80087,0,0,32.822823,0,0,0,,0,1,0.30211377,0.35134262,0.7814357,1,1,0,0.0037388843,30.041666,12.135976,8.899457,10.813655,30.041666,26.036879,0
ColliOrientali,45.64986,12.44986,Carmenere,02/01/2005,10.39,-3.0199997,59,11,9.59,0,2.9289572,0.510182,4.3865743,0,-100.441345,0,0,34.41272,0,0,0,,0.00018438755,1,0.50416,0.3576101,0.77836114,1,0.94499624,0,0.0037465673,31.041666,12.446508,9.25106,11.594963,31.041666,27.034586,0
ColliOrientali,45.64986,12.44986,Carmenere,02/02/2005,10.35,-2.4700003,45,10,8.139,0,3.0588572,0.5906696,3.75,0,-105.25041,0,0,36.06038,0,0,0,,0.00016769464,1,0.51824987,0.35131675,0.6264242,1,1,0,0.0039302595,32.041668,12.951255,9.608407,12.366993,32.041668,27.981873,0
ColliOrientali,45.64986,12.44986,Carmenere,02/03/2005,11.45,-2.9800005,53,10,9.671,0,3.125237,0.56615275,4.247685,0,-110.7024,0,0,37.92831,0,0,0,,0.0014905622,1,0.5300504,0.35878256,0.1939743,1,1,0,0.0041530733,33.041668,13.469996,9.960034,12.975398,33.041668,28.981873,0
ColliOrientali,45.64986,12.44986,Carmenere,02/04/2005,7.47,0.80999994,63,33,4.478,0,1.4541425,0.42200786,3.5879629,0,-113.93437,0,0,39.035633,0,0,0,,0,1,0.55853134,0.3112509,0,1,1,0,0.005581529,34.041664,14.001233,10.316837,13.161291,34.041664,29.981874,0
ColliOrientali,45.64986,12.44986,Carmenere,02/05/2005,6.16,-2.0699997,62,11,10.234,0,2.899794,0.4392259,4.4097223,0,-116.23969,0,0,39.82547,0,0,0,,0,1,0.3620637,0.36145368,0,1,0.9233726,0,0.005581529,35.041668,14.5515785,10.630179,13.161291,35.041668,30.97868,0
ColliOrientali,45.64986,12.44986,Carmenere,02/06/2005,5.2,-4.49,46,11,10.292,0,3.3244567,0.44664526,7.3958335,0,-117.63495,0,0,40.30351,0,0,0,,0,1,0.24777007,0.36198172,0,1,0.046614967,0,0.005581529,36.041668,14.908879,10.991655,13.161291,36.041668,31.86552,0
ColliOrientali,45.64986,12.44986,Carmenere,02/07/2005,4.32,-3.7199998,33,10,10.465,0,3.7395406,0.4918348,8.125,0,-118.79555,0,0,40.701145,0,0,0,,0,1,0.19506457,0.36281902,0,1,0.022482904,0,0.005581529,37.041664,15.154453,11.353672,13.161291,37.041664,31.91113,0
ColliOrientali,45.64986,12.44986,Carmenere,02/08/2005,5.48,-4.07,37,11,10.332,0,3.5777645,0.49119204,6.6203704,0,-120.36782,0,0,41.23983,0,0,0,,0,1,0.27319804,0.36275044,0,1,0.10122895,0,0.005581529,38.041668,15.352774,11.716488,13.161291,38.041668,31.936895,0
ColliOrientali,45.64986,12.44986,Carmenere,02/09/2005,9.23,-5.7,36,10,10.372,0,3.699803,0.5508841,5.9490743,0,-123.50307,0,0,42.31401,0,0,0,,0,1,0.4163168,0.36316648,0,1,0.19808197,0,0.005581529,39.041668,15.631936,12.079254,13.161291,39.041668,32.042164,0
ColliOrientali,45.64986,12.44986,Carmenere,02/10/2005,11.23,-3.6599998,41,10,10.475,0,3.570113,0.6097649,4.0046296,0,-128.54501,0,0,44.04146,0,0,0,,0.0010503182,1,0.50815624,0.36373883,0,1,1,0,0.005625292,40.041664,16.052078,12.442446,13.161291,40.041664,32.273655,0
ColliOrientali,45.64986,12.44986,Carmenere,02/11/2005,9.36,-1.5199997,47,11,6.108,0,2.615134,0.57288283,3.5416667,0,-132.99385,0,0,45.565697,0,0,0,,3.9130978E-08,1,0.52077717,0.3388504,0,1,1,0,0.0066318484,41.041668,16.560759,12.805147,13.161291,41.041668,33.27366,0
ColliOrientali,45.64986,12.44986,Carmenere,02/12/2005,8.97,-0.14999962,100,46,2.463,0,0.56610155,0.20533605,3.5185184,7,-137.78796,0,0,47.208233,0,0,0,,0,1,0.5635984,0.24596956,0,1,1,0,0.006631886,42.041668,17.08332,13.140128,13.161291,42.041668,34.27366,0
ColliOrientali,45.64986,12.44986,Carmenere,02/13/2005,10.89,1.9300003,100,69,6.852,0,0.9677477,0.13582957,2.824074,9,-141.10625,0,0,48.345127,0,0,0,,0.00074091856,1,0.7348659,0.34918818,0,1,1,0.03872094,0.0066627576,43.041664,17.654057,13.390398,13.161291,43.041664,35.273655,6.722385E-05
ColliOrientali,45.64986,12.44986,Carmenere,02/14/2005,11.23,1.0299997,76,11,11.006,0,2.7723746,0.5091376,3.113426,0,-145.028,0,0,49.688778,0,0,0,,0.001269408,1,0.68274575,0.37446943,0,1,1,0,0.0074256966,44.041668,18.38675,13.74064,13.161291,44.041668,36.27366,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/15/2005,9.24,-1.3000002,49,10,7.369,0,2.8019783,0.56858295,2.4652777,0,-149.48062,0,0,51.214314,0,0,0,,0,1,0.52459544,0.35994297,0,1,1,0,0.0086422125,45.041668,19.062904,14.114504,13.161291,45.041668,37.27366,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/16/2005,8.97,0.78999996,60,11,9.448,0,2.831117,0.546455,1.9675926,0,-149.05374,0.42687902,0,48.931946,0,0,0,,0,1,0.61376953,0.37640038,0,1,1,0,0.0086422125,46.041664,19.591215,14.475133,13.161291,46.041664,38.273655,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/17/2005,8.12,-1.0600002,50,11,5.866,0,2.4962382,0.5417708,1.9212962,0,-148.87871,0.17503752,0,48.991913,0,0,0,,0,1,0.49456874,0.34914622,0,1,1,0,0.0086422125,47.041668,20.200018,14.850398,13.161291,47.041668,39.27366,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/18/2005,9.22,-1.5799999,57,16,10.052,0,2.8824506,0.50385815,3.2870371,0,-148.49132,0.38738793,0,49.124634,0,0,0,,0,1,0.5142155,0.38607994,0,1,1,0,0.0086422125,48.041668,20.695404,15.201082,13.161291,48.041668,40.27366,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/19/2005,8.83,-3.7299998,65,22,10.813,0,2.692829,0.40770605,3.6111112,0,-148.24197,0.24933876,0,49.210064,0,0,0,,0,1,0.4419924,0.3926905,0,1,1,0,0.0086422125,49.041668,21.20661,15.587438,13.161291,49.041668,41.273655,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/20/2005,6.91,-1.8999999,63,25,7.04,0,2.052367,0.40305382,7.1527777,0,-148.2227,0.019268548,0,49.21667,0,0,0,,0,1,0.4103505,0.37030435,0,1,0.0594406,0,0.0086422125,50.041664,21.647284,15.979195,13.161291,50.041664,42.234467,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/21/2005,3.32,-0.93000007,94,39,2.398,4.5,0.710123,0.21433525,7.696759,24,-148.2227,0,0,49.21667,0,0,0,,0,1,0.17001697,0.25133,0.34599552,1,0.034501266,0,0.0086422125,51.041668,22.04762,16.344543,13.175707,51.041668,42.29287,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/22/2005,4.17,-0.88999987,94,57,9.359,3.1,1.402877,0.16151576,4.1203704,24,-148.2227,0,0,49.21667,0,0,0,,0,1,0.24278362,0.39347,0.6212695,1,1,0,0.0086422125,52.041668,22.22067,16.601795,13.533174,52.041668,42.367596,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/23/2005,5.31,-1.2400002,100,44,5.755,0,1.0550408,0.1839958,2.6620371,7,-148.2227,0,0,49.21667,0,0,0,,0,1,0.32740027,0.35960197,0.68885,1,1,0,0.0086422125,53.041664,22.46698,16.993855,14.157259,53.041664,43.3676,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/24/2005,7.7,-2.4700003,82,47,11.04,0,1.9330359,0.25264937,3.1712964,0,-148.13007,0.09263719,0,49.24841,0,0,0,,0,1,0.43072623,0.40702778,0.70252985,1,1,0,0.0086422125,54.041668,22.798687,17.355433,14.846679,54.041668,44.3676,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/25/2005,7.45,-0.19999981,78,47,5.1,0,1.1005845,0.29001215,4.016204,0,-148.04768,0.08237923,0,49.27663,0,0,0,,0,1,0.5023587,0.35081887,0.71655625,1,1,0,0.0086422125,55.041668,23.232397,17.760118,15.549793,55.041668,45.367596,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/26/2005,7.76,-0.8699999,76,32,10.307,0,2.166141,0.34844077,4.571759,0,-147.92876,0.1189202,0,49.31738,0,0,0,,0,1,0.48712754,0.40756232,0.72638226,1,0.7852452,0,0.0086422125,56.041664,23.734121,18.1133,16.266758,56.041664,46.35865,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/27/2005,6.46,-1.54,60,13,8.48,0,2.634576,0.45398664,2.9745371,0,-147.92766,0.0011001925,0,49.317753,0,0,0,,0,1,0.39649442,0.39752582,0.72040015,1,1,0,0.0086422125,57.041668,24.217474,18.520445,16.99289,57.041668,47.15284,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,02/28/2005,2.64,-2.97,33,11,13.463,0,4.184848,0.47027245,4.088889,0,-147.92766,0,0,49.317753,0,0,0,,0,1,0.090509586,0.4243367,0.7026783,1,1,0,0.0086422125,58.041668,24.60122,18.919088,17.712551,58.041668,48.15284,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/01/2005,3.3199997,-8.05,33,11,15.434,0,4.5769925,0.40771833,3.2986112,0,-147.92766,0,0,49.317753,0,0,0,,0,1,0.094723284,0.4315537,0.68690705,1,1,0,0.0086422125,59.041664,24.691902,19.343727,18.414574,59.041664,49.152843,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/02/2005,6.09,-7.2299995,32,10,15.426,0,4.656658,0.47600746,6.1921296,0,-147.92766,0,0,49.317753,0,0,0,,0,1,0.26672727,0.4330219,0.6757969,1,0.15534145,0,0.0086422125,60.041668,24.793793,19.775341,19.101017,60.041668,50.11765,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/03/2005,4.3,-6.1099997,100,17,8.295,0,1.9482931,0.21252985,4.375,5,-147.92766,0,0,49.317753,0,0,0,,0,1,0.16672787,0.402162,0.6728934,1,0.9559974,0,0.0086422125,61.041668,25.056353,20.207075,19.776693,61.041668,50.30635,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/04/2005,6.2699995,-1.8399999,97,67,9.624,0,1.3570598,0.12029281,3.8888888,7,-147.92766,0,0,49.317753,0,0,0,,0,1,0.3755918,0.41323102,0.67933786,1,1,0,0.0086422125,62.041664,25.231781,20.6097,20.449854,62.041664,51.26418,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/05/2005,7.98,-2.77,71,27,14.507,0,2.9938855,0.36575884,3.5995371,0,-147.80061,0.12703906,0,49.361282,0,0,0,,0,1,0.43441272,0.43453497,0.6822381,1,1,0,0.0086422125,63.041668,25.609825,21.023817,21.129313,63.041668,52.264183,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/06/2005,8.33,-2.8599997,78,21,11.765,0,2.610073,0.3585072,3.8541667,0,-147.6214,0.17920971,0,49.42268,0,0,0,,0,1,0.44502288,0.42662936,0.6820941,1,1,0,0.0086422125,64.04167,26.04468,21.458023,21.811546,64.04167,53.264183,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/07/2005,8.02,-2.7200003,52,11,14.943,0,3.9166489,0.5019867,3.0092592,0,-147.488,0.13338712,0,49.468388,0,0,0,,0,1,0.4373042,0.43778726,0.67659974,1,1,0,0.0086422125,65.041664,26.48938,21.885118,22.493412,65.041664,54.26418,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/08/2005,12.31,-2.29,66,12,15.212,0,3.6624742,0.51980656,3.3333333,0,-146.26224,1.2257679,0,49.888355,0,0,0,,0.0041762963,1,0.56553406,0.43936816,0.5666085,1,1,0,0.0088162245,66.041664,26.932026,22.322971,23.165428,66.041664,55.264183,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/09/2005,11.23,0.029999733,70,24,13.795,0,3.0221517,0.47003838,3.5995371,0,-145.1892,1.0730462,0,50.255993,0,0,0,,0.00120998,1,0.63012093,0.4366565,0.2469582,1,1,0,0.012868926,67.04167,27.500252,22.762226,23.718718,67.04167,56.264183,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/10/2005,11.32,-0.4499998,70,23,16.111,0,3.3971915,0.4678912,5.740741,0,-144.13028,1.0589132,0,50.618793,0,0,0,,0.0013593271,1,0.61059374,0.4429189,0,1,0.24396248,0,0.014085128,68.041664,28.129559,23.199144,23.955385,68.041664,57.232677,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/11/2005,10.05,-0.52999973,94,45,2.48,0,0.61939406,0.24175204,2.8587964,5,-143.47534,0.6549302,0,50.843185,0,0,0,,6.453931E-05,1,0.57846314,0.26616928,0,1,1,0,0.015390505,69.041664,28.738813,23.634699,23.955385,69.041664,57.508144,0.0016133725
ColliOrientali,45.64986,12.44986,Carmenere,03/12/2005,13.05,0.029999733,96,75,1.75,0,0.24113707,0.13058245,3.0439816,9,-141.73976,1.7355753,0,51.43782,0,0,0,,0.008665895,1,0.66166,0.21488425,0,1,1,0.1385139,0.015813434,70.04167,29.320745,23.89873,23.955385,70.04167,58.50814,0.001853848
ColliOrientali,45.64986,12.44986,Carmenere,03/13/2005,14,1.0599995,90,11,17.592,0,3.5897434,0.47131336,4.189815,0,-139.46503,2.274728,0,52.21718,0,0,0,,0.017197251,1,0.725166,0.44734532,0,1,1,0,0.024834804,71.041664,29.985048,24.123299,23.955385,71.041664,59.508144,0.0073847845
ColliOrientali,45.64986,12.44986,Carmenere,03/14/2005,13.27,1.8400002,100,31,14.267,0,2.5225754,0.3209339,3.425926,5,-137.3565,2.1085198,0,52.93959,0,0,0,,0.011035945,1,0.7623956,0.44165012,0,1,1,0.089042515,0.041775335,72.041664,30.711765,24.570408,23.955385,72.041664,60.508144,0.007539372
ColliOrientali,45.64986,12.44986,Carmenere,03/15/2005,15,2.4599996,92,37,14.716,0,2.624662,0.36891145,3.0902777,3,-134.3575,2.9990153,0,53.9671,0,0,0,,0.03101768,1,0.81845224,0.4432902,0,1,1,0.10108102,0.053643852,73.04167,31.476498,25.012127,23.955385,73.04167,61.50814,0.011270378
ColliOrientali,45.64986,12.44986,Carmenere,03/16/2005,15.82,2.6599998,89,39,15.593,0,2.7842941,0.3918353,3.4722223,0,-130.93384,3.4236662,0,55.140095,0,0,0,,0.044797678,1,0.8367385,0.44561622,0,1,1,0,0.08523569,74.041664,32.29571,25.455513,23.955385,74.041664,62.508144,0.015306599
ColliOrientali,45.64986,12.44986,Carmenere,03/17/2005,17.08,2.1299996,93,44,14.239,0,2.4909816,0.34461385,3.0902777,3,-127.06695,3.866891,0,56.46495,0,0,0,,0.0693498,1,0.8139825,0.4432852,0,1,1,0.14583482,0.13105637,75.041664,33.131504,25.901031,23.955385,75.041664,63.508144,0.015559785
ColliOrientali,45.64986,12.44986,Carmenere,03/18/2005,18.58,4.7100005,87,33,15.622,0,3.031476,0.5124738,3.0671296,0,-121.654976,5.411971,0,58.31917,0,0,0,,0.11794103,1,0.95061,0.44660866,0,1,1,0,0.20243081,76.04167,33.95118,26.344458,23.955385,76.04167,64.50814,0.02138305
ColliOrientali,45.64986,12.44986,Carmenere,03/19/2005,17.59,5.6499996,88,45,10.146,0,1.9411722,0.4323928,3.5995371,0,-116.34309,5.3118873,0,60.139103,0,0,0,,0.093895555,1,0.97375077,0.42965916,0,1,1,0,0.31936994,77.041664,34.902756,26.79036,23.955385,77.041664,65.50814,0.02138305
ColliOrientali,45.64986,12.44986,Carmenere,03/20/2005,14.89,5.2200003,58,23,16.04,0,3.7673907,0.72538245,9.513889,0,-112.55201,3.7910776,0,61.437984,0,0,0,,0.033701837,1,0.9588281,0.44813022,0,1,0.0056061596,0,0.4107574,78.041664,35.875885,27.220789,23.955385,78.041664,66.46671,0.02138305
ColliOrientali,45.64986,12.44986,Carmenere,03/21/2005,14.56,7.13,52,20,13.057,0,3.504148,0.824445,5.497685,0,-108.03433,4.517677,0,62.98581,0,0,0,,0.032533634,1,0.99043435,0.4421519,0,1,0.31108627,0,0.4444106,79.04167,36.83603,27.668667,23.955385,79.04167,66.48505,0.02138305
ColliOrientali,45.64986,12.44986,Carmenere,03/22/2005,13.48,4.59,75,29,8.772,0,2.0791867,0.5350488,3.7847223,0,-105.1569,2.877434,0,63.971664,0,0,0,,0.014738424,1,0.93154573,0.4225408,0,1,1,0,0.47620276,80.041664,37.82401,28.110004,23.955385,80.041664,66.82484,0.02138305
ColliOrientali,45.64986,12.44986,Carmenere,03/23/2005,14.360001,6.4100003,77,39,5.538,0,1.365899,0.51481307,2.2222223,0,-101.09922,4.057677,0,65.361885,0,0,0,,0.02788352,1,0.9829731,0.38355255,0,1,1,0,0.49148887,81.041664,38.757694,28.530918,23.955385,81.041664,67.82484,0.02138305
